a	DT
a's	JJ
aa	NN
aa's	NN
aaa	NN
aachen	NN
aachen's	NN
aah	NN
aaliyah	NN
aaliyah's	NN
aardvark	NN
aardvark's	NN
aardvarks	VBZ
aaron	RB
aaron's	JJ
ab	NN
ab's	NN
aba	VBP
aback	NN
abacus	NN
abacus's	NN
abacuses	VBZ
abaft	VBP
abalone	NN
abalone's	NN
abalones	NNS
abandon	RB
abandoned	VBD
abandoning	VBG
abandonment	JJ
abandonment's	NN
abandons	NNS
abase	VBP
abased	JJ
abasement	NN
abasement's	NN
abases	VBZ
abash	RB
abashed	VBN
abashedly	RB
abashes	NNS
abashing	VBG
abashment	JJ
abashment's	NN
abasing	VBG
abate	NN
abated	VBD
abatement	JJ
abatement's	NN
abates	VBZ
abating	VBG
abattoir	RP
abattoir's	JJ
abattoirs	NNS
abbas	VBP
abbas's	JJ
abbasid	NN
abbasid's	NN
abbe	NN
abbe's	NN
abbes	VBZ
abbess	JJ
abbess's	NN
abbesses	NNS
abbey	VBP
abbey's	JJ
abbeys	NNS
abbot	VBP
abbot's	JJ
abbots	NNS
abbott	VBP
abbott's	JJ
abbr	NN
abbrev	NN
abbreviate	NN
abbreviated	VBN
abbreviates	NNS
abbreviating	VBG
abbreviation	NN
abbreviation's	NN
abbreviations	NNS
abbrevs	VBP
abby	JJ
abby's	NN
abc	NN
abc's	NN
abcs	NN
abdicate	NN
abdicated	VBN
abdicates	NNS
abdicating	VBG
abdication	NN
abdication's	NN
abdications	NNS
abdomen	VBP
abdomen's	JJ
abdomens	NNS
abdominal	JJ
abduct	NN
abducted	VBD
abductee	NN
abductee's	NN
abductees	NNS
abducting	VBG
abduction	NN
abduction's	NN
abductions	NNS
abductor	VBP
abductor's	JJ
abductors	NNS
abducts	VBZ
abdul	JJ
abdul's	NN
abe	NN
abe's	NN
abeam	NN
abed	VBD
abel	JJ
abel's	RB
abelard	RB
abelard's	JJ
abelson	NN
abelson's	NN
aberdeen	JJ
aberdeen's	NN
abernathy	JJ
abernathy's	NN
aberrant	JJ
aberration	NN
aberration's	IN
aberrational	JJ
aberrations	NNS
abet	VBP
abets	NNS
abetted	VBD
abetting	VBG
abettor	NN
abettor's	JJ
abettors	NNS
abeyance	VBP
abeyance's	JJ
abhor	NN
abhorred	VBD
abhorrence	NN
abhorrence's	NN
abhorrent	NN
abhorrently	RB
abhorring	VBG
abhors	NNS
abidance	RB
abidance's	JJ
abide	RB
abides	IN
abiding	VBG
abidingly	RB
abidjan	JJ
abidjan's	NN
abigail	NN
abigail's	NN
abilene	NN
abilene's	JJ
abilities	NNS
ability	NN
ability's	VBP
abject	JJ
abjection	NN
abjection's	NN
abjectly	RB
abjectness	JJ
abjectness's	JJ
abjuration	NN
abjuration's	NN
abjurations	NNS
abjuratory	JJ
abjure	NN
abjured	VBD
abjurer	JJR
abjurer's	JJ
abjurers	NNS
abjures	NNS
abjuring	VBG
ablate	NN
ablated	VBN
ablates	NNS
ablating	VBG
ablation	NN
ablation's	NN
ablations	NNS
ablative	VBP
ablative's	JJ
ablatives	NNS
ablaze	VBP
able	JJ
abler	NN
ablest	JJS
abloom	NN
ablution	NN
ablution's	IN
ablutions	NNS
ably	RB
abm	VBP
abm's	JJ
abms	NN
abnegate	NN
abnegated	VBN
abnegates	NNS
abnegating	VBG
abnegation	NN
abnegation's	NN
abner	NN
abner's	IN
abnormal	JJ
abnormalities	NNS
abnormality	NN
abnormality's	VBP
abnormally	RB
aboard	JJ
abode	NN
abode's	NN
abodes	IN
abolish	JJ
abolished	VBD
abolishes	NNS
abolishing	VBG
abolition	NN
abolition's	FW
abolitionism	NN
abolitionism's	IN
